"tree_id","latitude","longitude","tree_dbh","spc_common","health"
"202049","40.72743911","-73.99067363","7","honeylocust","Good"
"196001","40.74440625","-73.98650552","4","honeylocust","Good"
"206765","40.73775064","-73.97805336","2","ginkgo","Good"
"206508","40.73891451","-73.97953172","6","honeylocust","Good"
"182495","40.74771026","-73.9962801","11","London planetree","Poor"
"208529","40.76442756","-73.98938497","14","Sophora","Good"
"195533","40.73523375","-74.00017279","14","Sophora","Fair"
"197807","40.74987927","-73.97620635","9","Sophora","Good"
"206499","40.738803","-73.98038","3","honeylocust","Good"
"173532","40.73697238","-74.00243877","2","cherry","Good"
"208653","40.76253112","-73.98683857","8","Callery pear","Fair"
"161143","40.73743906","-74.00560337","10","Sophora","Good"
"176844","40.74009292","-73.97747186","13","mulberry","Good"
"198950","40.76231743","-73.98827999","8","Sophora","Good"
"208464","40.76358766","-73.98871607","14","Sophora","Good"
"202105","40.72613223","-73.9875851","16","Sophora","Poor"
"208489","40.76343994","-73.99063939","17","Sophora","Good"
"196002","40.74437203","-73.98642441","4","honeylocust","Good"
"205168","40.73737361","-73.97802777","8","honeylocust","Good"
"174284","40.75397716","-73.96822056","11","honeylocust","Good"
"206579","40.73876393","-73.98081449","4","Sophora","Good"
"140563","40.74944171","-73.97353575","9","Callery pear","Good"
"202336","40.72700354","-73.99123688","15","Callery pear","Fair"
"206714","40.73898542","-73.97780099","7","Callery pear","Good"
"206710","40.73908114","-73.97803035","4","Callery pear","Fair"
"202102","40.72628559","-73.98801793","22","Sophora","Good"
"173824","40.73605177","-74.00344299","9","Sophora","Good"
"202337","40.72695827","-73.99112961","19","Callery pear","Good"
"208657","40.76240219","-73.98653221","7","Callery pear","Good"
"208659","40.76234902","-73.98640588","9","Callery pear","Good"
"208495","40.76321543","-73.99010554","7","Sophora","Good"
"202101","40.72633629","-73.98813774","18","Sophora","Fair"
"171693","40.75855665","-73.98683191","2","sweetgum","Good"
"198958","40.76317409","-73.98900996","16","Callery pear","Good"
"202104","40.72617727","-73.98769151","18","Sophora","Good"
