"tree_id","latitude","longitude","tree_dbh","spc_common","health"
"197452","40.7435181","-73.98057287","15","honeylocust","Fair"
"206374","40.73893405","-73.98147364","2","American linden","Good"
"206378","40.73918356","-73.9820683","11","honeylocust","Good"
"206485","40.73965217","-73.98127903","4","ginkgo","Good"
"206369","40.73860819","-73.98069699","4","honeylocust","Good"
"206486","40.73960221","-73.98116031","11","honeylocust","Good"
"194043","40.72051015","-73.98330669","5","crab apple","Good"
"202049","40.72743911","-73.99067363","7","honeylocust","Good"
"196001","40.74440625","-73.98650552","4","honeylocust","Good"
"206765","40.73775064","-73.97805336","2","ginkgo","Good"
"196547","40.71232032","-73.99235343","9","honeylocust","Good"
"194044","40.7204031","-73.98336194","6","crab apple","Good"
"206508","40.73891451","-73.97953172","6","honeylocust","Good"
"182495","40.74771026","-73.9962801","11","London planetree","Poor"
"179612","40.72171818","-73.98906406","17","London planetree","Good"
"179812","40.72065028","-73.99178983","21","London planetree","Good"
"195533","40.73523375","-74.00017279","14","Sophora","Fair"
"206499","40.738803","-73.98038","3","honeylocust","Good"
"173532","40.73697238","-74.00243877","2","cherry","Good"
"194042","40.72072731","-73.9831946","12","honeylocust","Fair"
"161143","40.73743906","-74.00560337","10","Sophora","Good"
"176844","40.74009292","-73.97747186","13","mulberry","Good"
"173694","40.72069633","-73.98429205","14","Callery pear","Good"
"202105","40.72613223","-73.9875851","16","Sophora","Poor"
"194045","40.72035482","-73.98338687","4","crab apple","Good"
"196002","40.74437203","-73.98642441","4","honeylocust","Good"
"205168","40.73737361","-73.97802777","8","honeylocust","Good"
"206579","40.73876393","-73.98081449","4","Sophora","Good"
"140563","40.74944171","-73.97353575","9","Callery pear","Good"
"202336","40.72700354","-73.99123688","15","Callery pear","Fair"
"206714","40.73898542","-73.97780099","7","Callery pear","Good"
"206710","40.73908114","-73.97803035","4","Callery pear","Fair"
"202102","40.72628559","-73.98801793","22","Sophora","Good"
"173824","40.73605177","-74.00344299","9","Sophora","Good"
"202337","40.72695827","-73.99112961","19","Callery pear","Good"
"202101","40.72633629","-73.98813774","18","Sophora","Fair"
"202104","40.72617727","-73.98769151","18","Sophora","Good"
"196549","40.71217726","-73.99233073","3","Sophora","Good"
"209604","40.72604885","-74.0013688","8","Sophora","Good"
"202103","40.72624222","-73.98791547","20","Sophora","Fair"
"140565","40.74934221","-73.9732996","4","Callery pear","Good"
"202100","40.72637933","-73.98823942","19","Sophora","Good"
"202098","40.72658025","-73.98864366","17","Sophora","Good"
"140564","40.74938159","-73.97339305","8","Callery pear","Good"
"206711","40.7390587","-73.97797657","7","Callery pear","Good"
"153322","40.71711521","-73.98512302","2","dawn redwood","Good"
"177254","40.73459143","-73.97489384","2","common hackberry","Good"
"196036","40.74644236","-73.98005629","11","Sophora","Good"
"173774","40.73590952","-74.00570073","6","Norway maple","Fair"
"195370","40.73520321","-73.998529","9","Callery pear","Good"
"206580","40.73885632","-73.98103266","5","Callery pear","Good"
"174237","40.70816902","-74.00024469","7","tree of heaven","Good"
"173690","40.72106754","-73.98410543","2",,
